job_id,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,fraudulent
1,7.704982828969751,7.549030645163934,7.834613786034352,0.0,0,1,0,0
2,5.92381959175308,9.579980810605878,9.003196876332492,7.704044237395098,0,1,0,0
3,6.279604635456627,4.858884102784659,7.559560466181018,0.0,0,1,0,0
4,6.637193147107119,11.180214803696686,9.984181470829338,8.163561498174593,0,1,0,0
5,10.110302182939007,8.086826543307685,6.994300930523898,1.3330738723260043,0,1,1,0
6,0.0,13.219774300173466,0.0,0.0,0,0,0,0
7,6.65828193243971,5.204311379490644,6.403758414509934,5.981100437269335,0,1,1,0
8,6.654434034914655,11.874134005750442,5.16909176784446,7.512480117380782,0,1,1,0
9,7.931173460398461,2.604548456800481,5.250975626376475,0.0,0,1,1,0
10,6.527120260208322,9.643279461981418,7.910489469233589,0.0,0,1,0,0
11,0.0,11.662494824442021,12.038996681281846,2.5301219924263,0,0,0,0
12,4.547887955236196,9.356533572902112,6.97662283030414,6.0318924676317405,0,1,0,0
13,6.527120260208322,9.076849799521687,7.312194676147553,0.0,0,1,0,0
14,4.912067318271443,6.929369726353337,6.750167873557115,0.0,0,1,1,0
15,5.856559342487305,8.430195142984772,5.601266682406229,4.289201331352708,0,1,0,0
16,7.169677752931636,10.503907252952295,6.5640880705550515,4.882497003501845,0,1,1,0
17,5.129372715234002,4.727323077507597,5.505000850817291,0.0,0,1,0,0
18,7.410292368082201,5.492720637690228,2.7969427423820754,1.4004848694351486,0,1,1,0
19,5.057879206665711,10.017027358065208,0.0,0.0,0,1,0,0
20,4.2100888591143395,7.361592587701485,7.9708538379012674,0.0,0,0,0,0
21,8.958384548810436,9.034219729356142,7.0916528848657645,0.0,0,1,0,0
22,9.482415308719393,11.114462920007155,8.389249322788373,7.364356151997128,0,1,0,0
23,11.968053579314807,8.613302690178553,8.807808473178122,4.579673974552497,0,1,1,0
24,6.676151678316625,8.894112507280155,7.547024545343068,4.287989159645864,0,1,0,0
25,0.0,5.270465062520463,0.0,0.0,0,0,0,0
26,9.809314683331657,13.452005792847725,3.1480763092100195,0.0,0,1,1,0
27,6.56097705238727,5.60343128661912,6.045930648488432,5.519259370884985,0,1,0,0
28,7.205560568064504,5.446243154949408,3.2125003393047087,3.5442067688643344,0,1,0,0
29,4.2100888591143395,9.448802494965449,0.0,0.0,0,0,0,0
30,6.527120260208322,9.608444113699255,7.625259304741514,0.0,0,1,0,0
31,6.527120260208322,9.822049621656037,9.413019683324734,0.0,0,1,0,0
32,0.0,5.375925121210265,6.552796186709305,5.459169803653795,0,1,0,0
33,5.233986625143695,8.75388058171767,8.193522171165375,5.461092751329292,0,1,1,0
34,6.279604635456627,9.622697416833292,5.23653901002786,0.0,0,1,1,0
35,5.620762803579738,3.1826547765077504,5.077562677778493,0.0,0,1,1,0
36,2.6082420225034375,5.540712706560129,3.343872457130021,1.4109862001090105,0,1,1,0
37,2.6082420225034375,4.766673349848725,3.4755592241892828,1.4109862001090105,0,1,0,0
38,0.0,9.712687972724245,0.0,0.0,0,0,0,0
39,4.282317013903043,9.853455033123405,8.23664858890983,5.652079670821959,0,1,1,0
40,6.527120260208322,10.66375079430574,7.58406009993361,0.0,0,1,0,0
41,2.6082420225034375,5.540712706560129,3.343872457130021,1.4109862001090105,0,1,1,0
42,2.6082420225034375,5.540712706560129,3.343872457130021,1.4109862001090105,0,1,1,0
43,0.0,5.451721589909907,0.0,0.0,0,0,0,0
44,6.527120260208322,6.926023036791923,7.173530539296074,0.0,0,1,0,0
45,6.527120260208322,11.84580112184548,7.860370274342431,0.0,0,1,0,0
46,6.716322215991664,8.418354844921932,7.267783919557087,4.2637770389080565,0,1,0,0
47,10.670290665251219,3.4076377976170282,3.7868479313025896,0.0,0,0,0,0
48,6.527120260208322,9.738406095184068,7.358320082339979,0.0,0,1,0,0
49,2.6082420225034375,5.540712706560129,3.343872457130021,1.4109862001090105,0,1,1,0
50,6.527120260208322,9.390484409376572,7.360790575707954,0.0,0,1,0,0
51,4.175161834035544,7.158562301434506,5.893493583286182,0.0,0,1,0,0
52,6.527120260208322,8.004947867999997,9.155760217897612,0.0,0,1,0,0
53,5.8060933192679895,4.938479891372939,4.651184836139215,0.0,0,1,0,0
54,0.0,8.598609565568044,6.29110889670636,2.654387004927619,0,0,0,0
55,6.716322215991664,5.303225032265475,7.625318545795627,5.643645909303489,0,1,0,0
56,3.6772737684606165,5.150681124270353,7.37367531507889,3.6252332251293637,0,1,1,0
57,6.716322215991664,5.303225032265475,7.625318545795627,5.643645909303489,0,1,0,0
58,9.966988464017488,6.684185051999144,9.475431810009779,7.836910325803256,0,1,1,0
59,4.65922181395293,7.3396249296141205,4.072093977679514,5.442012305425011,0,1,0,0
